match_id,Radiant,Dire,radiant_assists,radiant_barracks,radiant_denies,radiant_gpm,radiant_healing,radiant_hero_damage,radiant_kills,radiant_last_hits,radiant_total_levels,radiant_tower_damage,radiant_tower_status,radiant_xpm,dire_assists,dire_barracks,dire_denies,dire_gpm,dire_healing,dire_hero_damage,dire_kills,dire_last_hits,dire_total_levels,dire_tower_damage,dire_tower_status,dire_xpm,first_blood,match_duration,radiant_winner
4072252473,VGJ Storm,OG,67,15,43,2124,3532,100322,36,967,110,14585,1542,2618,65,49,29,2221,8772,126981,30,1044,113,11358,1920,2640,268,2670,0
4072354014,OG,VGJ Storm,84,63,45,2549,7128,81470,36,878,107,22152,1846,2871,60,0,38,2016,3136,71785,29,806,95,4414,1536,2258,15,2149,1
4072441405,Evil Geniuses,Team Secret,70,63,54,2718,5972,111898,33,967,113,17928,1846,2674,44,0,51,1798,3750,74210,20,835,99,1718,1536,2102,89,2558,1
4072509593,Team Secret,Evil Geniuses,107,0,46,2177,13784,166348,37,1315,120,10239,0,2289,116,51,60,2542,9277,146049,41,1488,123,18035,1792,2749,172,3489,0
4072586507,OpTic Gaming,Team Serenity,73,63,52,2259,1380,69198,30,900,107,20218,1982,2635,16,0,44,1656,100,47952,9,845,84,297,1536,1718,144,2304,1
4072635180,Team Serenity,OpTic Gaming,37,0,71,1801,1323,77869,20,868,95,3020,1024,2133,86,63,25,2681,5830,104840,38,809,108,17927,1972,2657,0,2328,0
4072699199,Virtus.pro,Mineski,98,63,44,2260,12337,144591,40,1197,121,15142,1830,2597,76,55,40,1993,11435,94468,27,1181,115,9787,772,2307,171,3097,1
4072772695,Virtus.pro,Mineski,74,63,69,2176,370,79498,38,717,103,16758,1974,2730,31,46,41,1878,1274,55399,19,824,92,1921,1536,2245,10,2136,1
4074178274,Winstrike,VGJ Storm,33,3,63,1631,236,67903,12,584,82,1769,1540,1939,81,63,37,2387,5249,85540,44,698,100,13926,1974,2764,251,1985,0
4074255285,VGJ Storm,Winstrike,53,63,42,2304,2927,66360,26,608,89,10066,1982,2707,22,11,48,1737,0,42230,13,608,76,2172,1540,1974,107,1660,1
4074356696,Team Secret,Vici Gaming,66,2,37,2110,8005,134137,32,1183,113,4253,1536,2248,109,63,44,2524,5332,128006,45,1559,124,20224,1572,2725,83,3532,0
4074440208,Team Secret,Vici Gaming,72,63,36,2182,8635,70302,30,562,89,16784,1855,2224,32,48,11,1542,548,54846,10,644,73,2686,1536,1655,202,1935,1
4074486307,Vici Gaming,Team Secret,36,51,77,1641,6675,52874,19,640,82,5597,774,1874,85,63,31,2133,7682,72000,31,662,95,9868,1972,2439,129,2021,0
